*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                           NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150     0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1990 028    49   150     1     0.0  203.3  182.2   21.0   25.46   62.43   16.41    2.43    2.42    2.99    3.12    2.52    2.54    0.16    0.65    0.79    0.15    0.18    0.31    0.80    1.43    1.45  121.75  222.16    0.00   79.11    0.00   42.64   95.90
 1990 029    50   150     1     0.0  202.3  181.7   20.6   26.16   62.18   16.41    2.35    2.28    2.87    3.14    2.54    2.55    0.15    0.59    0.74    0.14    0.17    0.29    0.78    1.41    1.44  122.40  222.77    0.00   79.53    0.00   42.86   97.09
 1990 030    51   150     1     0.0  201.5  181.4   20.1   26.78   61.99   16.43    2.31    2.17    2.74    3.15    2.55    2.57    0.14    0.54    0.68    0.13    0.15    0.26    0.76    1.40    1.42  122.95  223.34    0.00   79.90    0.00   43.05   98.08
 1990 031    52   150     1     0.0  200.7  181.1   19.7   27.36   61.82   16.46    2.28    2.07    2.59    3.15    2.57    2.58    0.14    0.49    0.63    0.13    0.14    0.24    0.75    1.39    1.41  123.42  223.85    0.00   80.21    0.00   43.21   98.99
 1990 032    53   150     1     0.0  200.0  180.7   19.3   27.70   61.75   16.50    2.27    2.00    2.42    3.13    2.58    2.60    0.14    0.45    0.59    0.12    0.13    0.22    0.72    1.38    1.40  123.84  224.31    0.00   80.48    0.00   43.35   99.88
 1990 033    54   150     1     0.0  199.1  180.2   18.9   28.07   61.66   16.52    2.26    1.93    2.25    3.09    2.60    2.61    0.14    0.42    0.55    0.12    0.12    0.20    0.70    1.37    1.39  124.20  224.70    0.00   80.71    0.00   43.49  100.86
 1990 034    55   150     1     0.0  198.2  179.6   18.5   28.49   61.54   16.54    2.25    1.87    2.07    3.02    2.61    2.63    0.13    0.39    0.52    0.12    0.12    0.18    0.67    1.36    1.38  124.50  225.06    0.00   80.90    0.00   43.61  101.93
 1990 035    56   150     1     0.0  197.1  179.0   18.2   28.93   61.40   16.56    2.24    1.81    1.90    2.91    2.62    2.64    0.13    0.37    0.50    0.12    0.11    0.16    0.63    1.35    1.37  124.76  225.38    0.00   81.05    0.00   43.72  103.09
 1990 036    57   150     1     0.0  196.0  178.2   17.8   29.38   61.25   16.57    2.24    1.78    1.75    2.76    2.63    2.65    0.12    0.35    0.47    0.11    0.11    0.14    0.59    1.34    1.36  124.99  225.67    0.00   81.17    0.00   43.82  104.31
 1990 037    58   150     1     0.0  194.8  177.4   17.5    4.53   55.83   31.29    2.23    1.76    1.63    2.55    2.65    2.66    0.11    0.34    0.45    0.11    0.10    0.13    0.53    1.33    1.35  125.18  225.95    0.00   81.27    0.00   43.91  105.57
 1990 038    59   150     1     0.0  189.1  171.6   17.5    3.46   45.77   36.49    2.23    1.76    1.61    2.50    2.66    2.67    0.00    0.53    0.45    0.11    0.10    0.13    0.51    1.33    1.34  127.32  226.22    0.00   83.20    0.00   44.13  111.57
 1990 039    60   150     1     0.0  183.8  166.1   17.7    3.06   42.54   35.96    2.23    1.76    1.59    2.47    2.67    2.68    0.23    0.69    0.47    0.11    0.10    0.13    0.50    1.32    1.33  130.65  226.54    0.00   85.76    0.00   44.89  117.57
 1990 040    61   200     2     0.0  199.5  160.9   38.7    2.88   39.34   35.46    2.23    1.75    1.57    2.43    2.68    2.70   31.84    0.75    0.48    0.11    0.10    0.12    0.48    1.31    1.32  134.00  227.00    0.00   88.10    0.00   45.91  123.57
 1990 041    62   200     2     0.0  206.7  173.8   32.9   28.30   36.78   35.11    2.23    1.75    1.56    2.40    2.69    2.71   23.27    0.80    0.49    0.11    0.10    0.12    0.47    1.30    1.31  137.04  244.49    0.00   90.19    0.00   46.85  129.57
 1990 042    63   200     2     0.0  208.7  182.1   26.6   46.59   34.38   34.77    2.23    1.75    1.54    2.35    2.70    2.72   14.06    0.81    0.49    0.11    0.10    0.11    0.45    1.29    1.30  139.69  257.85    0.00   91.96    0.00   47.73  135.57
 1990 043    64   200     2     0.0  207.1  185.0   22.1   57.64   31.64   34.37    2.23    1.75    1.51    2.26    2.72    2.73    7.74    0.75    0.47    0.11    0.10    0.11    0.42    1.28    1.29  141.70  266.06    0.00   93.16    0.00   48.54  141.57
 1990 044    65   200     2     0.0  204.6  184.5   20.1   62.89   29.44   34.05    2.23    1.76    1.47    2.11    2.73    2.75    5.27    0.68    0.45    0.11    0.10    0.10    0.39    1.27    1.28  143.05  269.99    0.00   93.92    0.00   49.14  146.29
 1990 045    66   200     2     0.0  204.1  185.3   18.8   66.24   28.77   33.97    2.24    1.76    1.45    1.97    2.74    2.76    3.78    0.64    0.42    0.10    0.09    0.10    0.35    1.26    1.27  143.96  272.55    0.00   94.46    0.00   49.50  148.17
 1990 046    67   200     2     0.0  203.9  186.1   17.9   68.57   28.42   33.93    2.24    1.76    1.44    1.85    2.76    2.77    2.83    0.61    0.40    0.10    0.09    0.10    0.33    1.25    1.26  144.72  274.42    0.00   94.96    0.00   49.76  149.43
 1990 047    68   200     2     0.0  203.7  186.4   17.3   70.19   28.12   33.90    2.24    1.76    1.43    1.73    2.77    2.79    2.34    0.58    0.38    0.10    0.09    0.10    0.30    1.24    1.25  145.42  275.77    0.00   95.41    0.00   50.01  150.54
 1990 048    69   200     2     0.0  203.4  186.6   16.8   71.41   27.90   33.88    2.24    1.76    1.42    1.63    2.78    2.80    2.04    0.56    0.36    0.10    0.09    0.09    0.28    1.23    1.25  146.03  276.81    0.00   95.81    0.00   50.22  151.47
 1990 049    70   200     2     0.0  203.3  186.9   16.5   72.38   27.80   33.87    2.24    1.76    1.42    1.53    2.78    2.81    1.82    0.53    0.34    0.10    0.09    0.09    0.26    1.22    1.24  146.55  277.65    0.00   96.16    0.00   50.39  152.14
 1990 050    71   200     2     0.0  203.2  187.2   16.1   73.22   27.77   33.87    2.24    1.76    1.41    1.46    2.78    2.82    1.60    0.51    0.32    0.10    0.09    0.09    0.24    1.21    1.23  147.00  278.37    0.00   96.47    0.00   50.53  152.65
 1990 051    72   200     2     0.0  203.1  187.5   15.7   73.98   27.78   33.87    2.24    1.76    1.41    1.40    2.76    2.83    1.35    0.48    0.31    0.10    0.09    0.09    0.23    1.19    1.22  147.42  279.04    0.00   96.77    0.00   50.65  153.10
 1990 052    73   200     2     0.0  203.0  187.7   15.3   74.65   27.79   33.88    2.24    1.76    1.41    1.36    2.74    2.84    1.12    0.45    0.30    0.10    0.09    0.09    0.22    1.17    1.21  147.84  279.64    0.00   97.07    0.00   50.77  153.56
 1990 053    74   200     2     0.0  202.7  187.9   14.8   75.24   27.81   33.88    2.24    1.76    1.41    1.32    2.70    2.85    0.90    0.42    0.28    0.10    0.09    0.09    0.21    1.14    1.21  148.27  280.20    0.00   97.37    0.00   50.90  154.08
 1990 054    75   200     2     0.0  202.4  188.0   14.4   75.76   27.82   33.88    2.24    1.76    1.41    1.30    2.64    2.86    0.73    0.40    0.27    0.10    0.09    0.09    0.21    1.10    1.20  148.70  280.70    0.00   97.67    0.00   51.02  154.65
 1990 055    76   200     2     0.0  202.0  188.0   14.0   76.23   27.84   33.89    2.24    1.76    1.41    1.29    2.57    2.87    0.59    0.38    0.25    0.10    0.09    0.09    0.20    1.06    1.19  149.12  281.16    0.00   97.97    0.00   51.15  155.30
 1990 056    77   200     2     0.0  201.5  188.0   13.6   76.65   27.85   33.89    2.24    1.76    1.41    1.28    2.50    2.89    0.47    0.35    0.24    0.09    0.09    0.09    0.20    1.02    1.18  149.56  281.59    0.00   98.27    0.00   51.28  155.93
 1990 057    78   200     2     0.0  201.1  187.9   13.2   77.02   27.86   33.89    2.25    1.77    1.41    1.28    2.43    2.90    0.38    0.33    0.22    0.09    0.08    0.09    0.20    0.98    1.17  149.99  282.00    0.00   98.57    0.00   51.42  156.52
 1990 058    79   200     2     0.0  200.8  187.9   12.9   77.35   27.87   33.89    2.25    1.77    1.41    1.28    2.36    2.91    0.32    0.31    0.21    0.09    0.08    0.08    0.19    0.94    1.16  150.42  282.37    0.00   98.86    0.00   51.56  157.10
 1990 059    80   200     2     0.0  200.4  187.8   12.5   77.65   27.88   33.89    2.25    1.77    1.41    1.28    2.30    2.93    0.28    0.29    0.20    0.09    0.08    0.08    0.19    0.90    1.15  150.83  282.72    0.00   99.13    0.00   51.70  157.66
 1990 060    81   250     3     0.0  208.0  187.8   20.2   77.93   27.88   33.89    2.25    1.77    1.42    1.28    2.23    2.94   12.27    0.27    0.19    0.09    0.08    0.08    0.19    0.87    1.14  151.22  283.04    0.00   99.37    0.00   51.84  158.20
 1990 061    82   250     3     0.0  214.1  192.1   21.9   84.90   27.87   33.88    2.25    1.77    1.42    1.27    2.17    2.95   15.29    0.26    0.18    0.09    0.08    0.08    0.19    0.83    1.13  151.57  287.78    0.00   99.59    0.00   51.98  158.73
 1990 062    83   250     3     0.0  218.9  197.4   21.5   93.31   27.86   33.87    2.25    1.77    1.42    1.27    2.11    2.97   15.02    0.25    0.17    0.09    0.08    0.08    0.18    0.80    1.12  151.88  293.45    0.00   99.77    0.00   52.11  159.24
 1990 063    84   250     3     0.0  222.8  202.6   20.2  101.58   27.84   33.85    2.25    1.77    1.42    1.27    2.05    2.98   13.41    0.23    0.16    0.09    0.08    0.08    0.18    0.77    1.11  152.16  299.02    0.00   99.92    0.00   52.24  159.74
