*SOIL ORGANIC N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                --------  STATE VARIABLES TODAY  -------   -------- ADDED TODAY --------   -REMOV TODAY-   BALANCE   BALANCE
@YEAR DOY   DAS  SRFLIT SRFSOM1   TLITN    TSOMN  SRFSOIL  RESIDN  SENESN   IMMOB  TOTADD   MINER  TOTSUB    DAYBAL    CUMBAL
 1990  62    83   73.52   95.76    2.09  6055.08  6226.45    0.00    0.00    0.18    0.18    0.31    0.31     0.001     0.001
 1990  63    84   73.39   95.84    2.09  6055.00  6226.32    0.00    0.00    0.15    0.15    0.28    0.28     0.000     0.001
 1990  64    85   73.30   95.91    2.08  6054.91  6226.20    0.00    0.00    0.12    0.12    0.24    0.24     0.000     0.001
 1990  65    86   73.20   95.98    2.08  6054.83  6226.10    0.00    0.00    0.12    0.12    0.23    0.23    -0.002     0.000
 1990  66    87   73.11   96.06    2.08  6054.75  6225.99    0.00    0.00    0.12    0.12    0.22    0.22     0.001     0.001
 1990  67    88   73.02   96.13    2.07  6054.67  6225.89    0.00    0.00    0.12    0.12    0.22    0.22     0.000     0.001
 1990  68    89   72.93   96.20    2.07  6054.59  6225.79    0.00    0.00    0.11    0.11    0.21    0.21    -0.001     0.000
 1990  69    90   72.85   96.26    2.07  6054.51  6225.70    0.00    0.00    0.11    0.11    0.21    0.21     0.000     0.000
 1990  70    91   72.77   96.33    2.06  6054.44  6225.60    0.00    0.00    0.11    0.11    0.20    0.20     0.001     0.002
 1990  71    92   72.69   96.39    2.06  6054.37  6225.51    0.00    0.00    0.10    0.10    0.20    0.20    -0.001     0.000
 1990  72    93   72.61   96.46    2.06  6054.29  6225.42    0.00    0.00    0.10    0.10    0.19    0.19     0.000     0.001
 1990  73    94   72.53   96.51    2.06  6054.23  6225.33    0.00    0.00    0.10    0.10    0.19    0.19     0.001     0.001
 1990  74    95   72.46   96.57    2.05  6054.16  6225.25    0.00    0.00    0.09    0.09    0.18    0.18     0.000     0.001
 1990  75    96   72.39   96.63    2.05  6054.09  6225.16    0.00    0.00    0.09    0.09    0.18    0.18    -0.001     0.001
 1990  76    97   72.31   96.69    2.05  6054.02  6225.07    0.00    0.00    0.10    0.10    0.18    0.18     0.000     0.001
 1990  77    98   72.23   96.76    2.05  6053.95  6224.99    0.00    0.00    0.10    0.10    0.19    0.19     0.000     0.001
 1990  78    99   72.15   96.83    2.04  6053.87  6224.89    0.00    0.00    0.11    0.11    0.20    0.20     0.000     0.001
 1990  79   100   72.06   96.91    2.04  6053.79  6224.79    0.00    0.00    0.12    0.12    0.22    0.22     0.000     0.001
 1990  80   101   71.96   96.99    2.04  6053.70  6224.68    0.00    0.00    0.13    0.13    0.24    0.24    -0.001     0.001
 1990  81   102   71.85   97.08    2.03  6053.60  6224.57    0.00    0.00    0.13    0.13    0.25    0.25     0.000     0.000
 1990  82   103   71.74   97.17    2.03  6053.51  6224.45    0.00    0.00    0.14    0.14    0.26    0.26     0.000     0.001
 1990  83   104   71.63   97.26    2.03  6053.41  6224.33    0.00    0.00    0.14    0.14    0.27    0.27     0.000     0.000
 1990  84   105   71.52   97.35    2.03  6053.31  6224.20    0.00    0.00    0.14    0.14    0.27    0.27     0.000     0.000
 1990  85   106   71.41   97.44    2.02  6053.22  6224.08    0.00    0.00    0.14    0.14    0.26    0.26     0.001     0.001
 1990  86   107   71.30   97.52    2.02  6053.12  6223.96    0.00    0.00    0.14    0.14    0.26    0.26     0.000     0.001
 1990  87   108   71.19   97.60    2.02  6053.03  6223.84    0.00    0.00    0.13    0.13    0.25    0.25    -0.001     0.000
 1990  88   109   71.09   97.68    2.01  6052.94  6223.72    0.00    0.00    0.13    0.13    0.25    0.25     0.001     0.001
 1990  89   110   71.00   97.75    2.01  6052.86  6223.61    0.00    0.00    0.12    0.12    0.23    0.23    -0.001     0.000
 1990  90   111   70.91   97.82    2.01  6052.77  6223.51    0.00    0.00    0.12    0.12    0.22    0.22     0.000     0.000
 1990  91   112   70.82   97.88    2.01  6052.70  6223.40    0.00    0.00    0.11    0.11    0.21    0.21     0.001     0.001
 1990  92   113   70.74   97.95    2.00  6052.62  6223.31    0.00    0.00    0.10    0.10    0.20    0.20    -0.001     0.000
 1990  93   114   70.66   98.01    2.00  6052.55  6223.21    0.00    0.00    0.10    0.10    0.20    0.20     0.001     0.001
 1990  94   115   70.57   98.07    2.00  6052.47  6223.12    0.00    0.00    0.10    0.10    0.20    0.20     0.000     0.000
 1990  95   116   70.49   98.14    2.00  6052.40  6223.02    0.00    0.00    0.11    0.11    0.21    0.21     0.000     0.001
 1990  96   117   70.40   98.22    1.99  6052.31  6222.92    0.00    0.00    0.12    0.12    0.22    0.22    -0.001     0.000
 1990  97   118   70.30   98.29    1.99  6052.23  6222.81    0.00    0.00    0.12    0.12    0.23    0.23     0.000     0.000
 1990  98   119   68.03  101.41    1.97  6051.05  6222.46    0.00    0.00    2.64    2.64    3.00    3.00     0.000     0.000
 1990  99   120   65.22  103.89    1.95  6049.89  6220.95    0.00    0.00    3.21    3.21    4.71    4.71     0.001     0.000
 1990 100   121   62.78  105.42    1.93  6048.98  6219.11    0.00    0.00    2.80    2.80    4.64    4.64     0.000     0.001
 1990 101   122   61.01  106.16    1.92  6048.28  6217.37    0.00    0.00    2.09    2.09    3.83    3.83    -0.001     0.000
 1990 102   123   59.82  106.52    1.91  6047.72  6215.96    0.00    0.00    1.48    1.48    2.89    2.89     0.000     0.000
 1990 103   124   59.06  106.66    1.90  6047.28  6214.90    0.00    0.00    1.00    1.00    2.06    2.06     0.000     0.000
 1990 104   125   58.43  106.96    1.89  6046.83  6214.11    0.00    0.00    0.87    0.87    1.67    1.67     0.000     0.001
 1990 105   126   57.89  107.21    1.88  6046.37  6213.36    0.00    0.00    0.79    0.79    1.54    1.54     0.000     0.001
 1990 106   127   57.43  107.42    1.87  6045.91  6212.64    0.00    0.00    0.71    0.71    1.43    1.43     0.000     0.000


!                                        INITIAL Year/Doy      FINAL Year/Doy
!                                                1989/345            1990/106
! SOIL N BALANCE                                -----------kg N/ha-----------
!  SOIL & SURFACE ORGANIC MATTER N
!   Active (= microbial) SOM N                     147.18              101.64
!   Intermediate SOM N                            1644.96             1628.19
!   Passive SOM N                                 4318.90             4316.09
!   Soil Litter N                                    7.52                1.87
!   N in Litter on Top of the Soil                   0.00               57.43
!   N in Microbes on Top of the Soil                 0.00              107.42
!                                                --------            --------
!   Total Organic N in Soil and Surface Layers    6118.56             6212.64

!  ADDITIONS AND REMOVALS:
!   N in Harvest Residues from Previous Crop         0.00
!   N from Organic Applications                    160.00
!   N in returned senesced material                  0.00
!   N immobilized                                  119.46
!   N mineralized                                                      185.38
!                                                --------            --------
!     TOTAL N BALANCE                             6398.02             6398.02
!   Balance                                                              0.00
