*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1990 051    72  189.91    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   3.69   0.00   0.00    0.00     -0.01        0.00   -0.06   -3.69    0.00    0.00        0.00   -0.96    0.00
 1990 052    73  187.23    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   2.62   0.00   0.00    0.00     -0.01        0.00   -0.07   -2.62    0.00    0.00        0.00   -1.09    0.00
 1990 053    74  183.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   3.17   0.00   0.00    0.00     -0.01        0.00   -0.07   -3.17    0.00    0.00        0.00   -1.12    0.00
 1990 054    75  181.06    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   2.85   0.00   0.00    0.00     -0.01        0.00   -0.08   -2.85    0.00    0.00        0.00   -1.31    0.00
 1990 055    76  177.48    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   3.50   0.00   0.00    0.00      0.00        0.00   -0.08   -3.50    0.00    0.00        0.00   -1.31    0.00
 1990 056    77  174.55    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   2.85   0.00   0.00    0.00      0.00        0.00   -0.08   -2.85    0.00    0.00        0.00   -1.27    0.00
 1990 057    78  174.46    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.01   0.00   0.00    0.00     -0.01        0.00   -0.08   -0.01    0.00    0.00        0.00   -1.25    0.00
 1990 058    79  174.36    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.02   0.00   0.00    0.00      0.00        0.00   -0.08   -0.02    0.00    0.00        0.00   -1.24    0.00
 1990 059    80  174.25    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.02   0.00   0.00    0.00      0.00        0.00   -0.08   -0.02    0.00    0.00        0.00   -1.32    0.00
 1990 060    81  174.12    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.02   0.00   0.00    0.00      0.00        0.00   -0.11   -0.02    0.00    0.00        0.00   -1.73    0.00
 1990 061    82  173.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.12   0.02   0.00   0.00    0.00      0.00        0.00   -0.12   -0.02    0.00    0.00        0.00   -1.80    0.00
 1990 062    83  173.84    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.13   0.02   0.00   0.00    0.00      0.00        0.00   -0.13   -0.02    0.00    0.00        0.00   -1.93    0.00
 1990 063    84  173.70    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.12   0.02   0.00   0.00    0.00     -0.01        0.00   -0.12   -0.02    0.00    0.00        0.00   -1.80    0.00
 1990 064    85  173.57    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.02   0.00   0.00    0.00     -0.01        0.00   -0.11   -0.02    0.00    0.00        0.00   -1.59    0.00
 1990 065    86  173.44    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.02   0.00   0.00    0.00     -0.01        0.00   -0.11   -0.02    0.00    0.00        0.00   -1.70    0.00
 1990 066    87  173.27    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.15   0.02   0.00   0.00    0.00     -0.01        0.00   -0.15   -0.02    0.00    0.00        0.00   -2.14    0.00
 1990 067    88  173.09    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.16   0.02   0.00   0.00    0.00     -0.01        0.00   -0.16   -0.02    0.00    0.00        0.00   -2.30    0.00
 1990 068    89  172.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.15   0.02   0.00   0.00    0.00     -0.01        0.00   -0.15   -0.02    0.00    0.00        0.00   -2.07    0.00
 1990 069    90  172.79    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.02   0.00   0.00    0.00     -0.01        0.00   -0.11   -0.02    0.00    0.00        0.00   -1.57    0.00
 1990 070    91  172.62    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.15   0.02   0.00   0.00    0.00     -0.01        0.00   -0.15   -0.02    0.00    0.00        0.00   -2.02    0.00
 1990 071    92  172.46    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.14   0.02   0.00   0.00    0.00     -0.01        0.00   -0.14   -0.02    0.00    0.00        0.00   -1.84    0.00
 1990 072    93  172.30    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.13   0.02   0.00   0.00    0.00      0.00        0.00   -0.13   -0.02    0.00    0.00        0.00   -1.68    0.00
 1990 073    94  172.16    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.12   0.02   0.00   0.00    0.00      0.00        0.00   -0.12   -0.02    0.00    0.00        0.00   -1.53    0.00
 1990 074    95  172.01    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.12   0.02   0.00   0.00    0.00      0.00        0.00   -0.12   -0.02    0.00    0.00        0.00   -1.39    0.00
 1990 075    96  171.88    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.02   0.00   0.00    0.00      0.00        0.00   -0.11   -0.02    0.00    0.00        0.00   -1.27    0.00
