*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!               ----------- STATE VARIABLES -----------  --- ADDED ----   --------------- REMOVED TODAY ---------------     DAILY     CUMUL
@YEAR DOY  DAS      NO3     NH4   TUREA  FLOODN  ALGFIX   AFERT  AMINER    RLCH    RNOX    RNUP    RAML    RNRO  RIMMOB      DBAL      CBAL
 1990 105  126  219.172   5.920   0.000   0.000   0.000   0.000   1.536   0.000   0.000   0.000   0.000   0.000   0.787     0.000     0.000
 1990 106  127  220.017   5.793   0.000   0.000   0.000   0.000   1.427   0.000   0.000   0.000   0.000   0.000   0.709     0.000     0.000


!                                        INITIAL Year/Doy      FINAL Year/Doy
!                                                1989/345            1990/106
!SOIL INORGANIC N BALANCE                       -----------kg N/ha-----------

!   Soil NO3                                        46.07              220.02
!   Soil NH4                                        60.44                5.79
!   Soil Urea                                        0.00                0.00

!   Added to / Removed from Soil:
!   Fertilizer N                                   250.00
!   Mineralized N                                  185.38
!   Leached NO3                                                          0.00
!   N Denitrified                                                        0.00
!   N Uptake From Soil                                                 196.63
!   Ammonia volatilization                                               0.00
!   N immobilized                                                      119.46

!   Total N balance                                541.89              541.89
!   Balance                                                             0.000
