*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 077    98    0.0   11.9   12.8   25.6   51.2   0.00   29.0    6.8   17.4   21.8    6.8   17.4   21.8   86.4  353.8
 1990 078    99    0.0   11.9   12.8   27.1   54.2   0.00   31.0    6.0   17.9   22.9    6.0   17.9   22.9   86.4  353.8
 1990 079   100    0.0   11.9   12.8   26.6   53.2   0.00   33.2    9.2   20.7   25.5    9.2   20.7   25.5   86.4  353.8
 1990 080   101    0.0   12.0   12.8   24.9   49.8   0.03   31.0   10.0   20.0   24.3   10.0   20.0   24.3   86.4  353.8
 1990 081   102    0.0   12.0   12.9   25.4   50.8   0.02   31.6    9.6   20.1   24.6    9.6   20.1   24.6   86.4  353.8
 1990 082   103    0.0   12.0   12.9   25.8   51.6   0.01   31.2    8.6   19.4   23.1    8.6   19.4   23.1   86.4  353.8
 1990 083   104    0.0   12.0   12.9   24.7   49.4   0.06   30.8   10.0   20.0   23.4   10.0   20.0   23.4   86.4  353.8
 1990 084   105    0.0   12.1   12.9   23.3   46.6   0.11   30.0   11.6   20.4   23.4   11.6   20.4   23.4   86.4  353.8
 1990 085   106    0.0   12.1   13.0   21.4   42.8   0.19   27.6   12.0   19.5   22.0   12.0   19.5   22.0   86.4  353.8
 1990 086   107    0.0   12.1   13.0   20.7   41.4   0.22   30.2   15.6   22.6   25.0   15.6   22.6   25.0   86.4  353.8
 1990 087   108    0.0   12.2   13.0   21.6   43.2   0.19   29.6   13.8   21.4   24.0   13.8   21.4   24.0   86.4  353.8
 1990 088   109    0.0   12.2   13.1   18.8   37.6   0.30   24.0   12.0   17.8   19.8   12.0   17.8   19.8   86.4  353.8
 1990 089   110    0.0   12.2   13.1    6.4   12.8   0.76   25.4   24.0   24.7   24.9   24.0   24.7   24.9   86.4  353.8
 1990 090   111    0.0   12.2   13.1   20.6   41.2   0.24   23.4    9.0   15.9   18.3    9.0   15.9   18.3   86.4  353.8
 1990 091   112    0.0   12.3   13.1   24.4   48.8   0.10   25.2    9.4   17.0   19.6    9.4   17.0   19.6   86.4  353.8
 1990 092   113    0.0   12.3   13.2   24.7   49.4   0.10   27.2   11.0   18.8   21.5   11.0   18.8   21.5   86.4  353.8
 1990 093   114    0.0   12.3   13.2   26.2   52.4   0.05   28.8   10.6   19.4   22.4   10.6   19.4   22.4   86.4  353.8
 1990 094   115    0.0   12.3   13.2   29.0   58.0   0.00   31.0    8.8   19.5   23.3    8.8   19.5   23.3   86.4  353.8
 1990 095   116    0.0   12.4   13.2   23.8   47.6   0.14   28.0   13.0   20.3   22.8   13.0   20.3   22.8   86.4  353.8
 1990 096   117    0.0   12.4   13.3   26.5   53.0   0.05   28.6   10.0   19.0   22.1   10.0   19.0   22.1   86.4  353.8
 1990 097   118    0.0   12.4   13.3   23.3   46.6   0.17   27.2   12.8   19.8   22.2   12.8   19.8   22.2   86.4  353.8
 1990 098   119    0.0   12.4   13.3   26.8   53.6   0.05   30.6   11.6   20.8   24.0   11.6   20.8   24.0   86.4  353.8
 1990 099   120    0.0   12.5   13.4   26.9   53.8   0.05   31.8   12.6   21.9   25.2   12.6   21.9   25.2   86.4  353.8
 1990 100   121    0.0   12.5   13.4   27.4   54.8   0.03   32.2   12.4   22.0   25.4   12.4   22.0   25.4   86.4  353.8
 1990 101   122    0.0   12.5   13.4   28.6   57.2   0.00   35.2   13.6   24.1   27.8   13.6   24.1   27.8   86.4  353.8
 1990 102   123    0.0   12.6   13.4   29.5   59.0   0.00   34.0   11.0   22.2   26.1   11.0   22.2   26.1   86.4  353.8
 1990 103   124    0.0   12.6   13.5   29.5   59.0   0.00   34.0   11.0   22.2   26.1   11.0   22.2   26.1   86.4  353.8
 1990 104   125    0.0   12.6   13.5   30.4   60.8   0.00   35.0   10.6   22.5   26.7   10.6   22.5   26.7   86.4  353.8
 1990 105   126    0.0   12.6   13.5   31.3   62.6   0.00   36.6   10.6   23.3   27.7   10.6   23.3   27.7   86.4  353.9
 1990 106   127    0.0   12.7   13.5   27.8   55.6   0.04   35.0   14.6   24.6   28.1   14.6   24.6   28.1   86.4  353.9
