*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D    TRWU
 1990 030    51  16.70  26.20   6.60  3.326  2.973  0.337  5.425  5.293  0.133  0.000  0.000  131.60   97.88   75.89   18.18    0.00    3.80   0.098   0.017   0.005   0.003   0.003   0.002   0.002   0.002   0.001   0.529
 1990 031    52  10.30  20.00  12.60  1.997  1.805  0.183  5.805  5.733  0.072  0.000  0.000  133.60  103.68   81.63   18.25    0.00    3.80   0.054   0.009   0.003   0.001   0.001   0.001   0.001   0.001   0.001   0.573
 1990 032    53  13.00  18.00   9.60  2.391  2.174  0.206  1.677  1.595  0.081  0.000  0.000  135.99  105.36   83.22   18.34    0.00    3.80   0.061   0.011   0.003   0.001   0.001   0.001   0.001   0.001   0.001   0.160
 1990 033    54  16.00  20.20   7.60  2.980  2.727  0.239  1.913  1.819  0.095  0.000  0.000  138.97  107.27   85.04   18.43    0.00    3.80   0.070   0.013   0.004   0.002   0.002   0.001   0.001   0.001   0.001   0.182
 1990 034    55  18.40  22.00   5.20  3.439  3.167  0.256  3.313  3.212  0.101  0.000  0.000  142.41  110.58   88.25   18.53    0.00    3.80   0.075   0.014   0.004   0.002   0.002   0.002   0.002   0.001   0.001   0.321
 1990 035    56  20.20  23.00   2.80  3.748  3.471  0.259  4.812  4.709  0.103  0.000  0.000  146.15  115.40   92.96   18.63    0.00    3.80   0.075   0.014   0.004   0.002   0.002   0.002   0.002   0.001   0.001   0.471
 1990 036    57  20.30  23.40   3.00  3.796  3.532  0.246  5.994  5.897  0.098  0.000  0.000  149.95  121.39   98.86   18.73    0.00    3.80   0.071   0.014   0.004   0.001   0.001   0.001   0.002   0.001   0.001   0.590
 1990 037    58  20.20  23.60   3.40  3.803  3.550  0.235  6.204  6.111  0.093  0.000  0.000  153.75  127.59  104.97   18.83    0.00    3.80   0.081   0.009   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.611
 1990 038    59  17.20  23.60   9.00  3.407  3.208  0.185  6.229  6.155  0.073  0.000  0.000  157.16  133.82  111.12   18.90    0.00    3.80   0.023   0.015   0.005   0.001   0.001   0.004   0.007   0.009   0.007   0.616
 1990 039    60  13.90  22.00  12.40  2.778  2.634  0.134  4.663  4.610  0.054  0.000  0.000  159.94  138.49  115.73   18.95    0.00    3.80   0.015   0.011   0.004   0.001   0.001   0.003   0.005   0.007   0.006   0.461
 1990 040    61  16.70  22.40   8.60  3.249  3.094  0.142  2.838  2.781  0.058  0.000  0.000  163.19  141.32  118.51   19.01    0.00    3.80   0.050   0.006   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.278
 1990 041    62  20.50  26.40   5.60  4.095  3.919  0.161  4.236  4.170  0.066  0.000  0.000  167.28  145.56  122.68   19.08    0.00    3.80   0.057   0.007   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.417
 1990 042    63  20.90  28.00   6.40  4.290  4.122  0.152  7.481  7.417  0.063  0.000  0.000  171.57  153.04  130.10   19.14    0.00    3.80   0.053   0.007   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.742
 1990 043    64  20.70  28.20   7.00  4.282  4.125  0.142  8.226  8.166  0.060  0.000  0.000  175.85  161.27  138.27   19.20    0.00    3.80   0.049   0.008   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.817
 1990 044    65  16.30  24.20  11.00  3.317  3.200  0.106  8.137  8.093  0.045  0.000  0.000  179.17  169.40  146.36   19.24    0.00    3.80   0.035   0.006   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.809
