*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                                                                                                             Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                             0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   DAP    DCCD  GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   SHAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   TPSM   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   CDAD   LDAD   SDAD   SNW0C   SNW1C    DTTD   SUMDTT
 1990 031    52    51  36.102     2  3.580   1161    428      0   1445   2749   2749      0      0  0.000   1160      0  0.000  0.363  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1160    313.8   0.00   0.00   0.75   0.043   0.055   0.038   0.014   0.008   0.005   0.001   0.000   0.000      0      0      0       0       0  16.300  168.987
 1990 032    53    52  36.601     2  3.681   1193    492      0   1493   2897   2897      0      0  0.000   1212      0  0.000  0.381  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1212    313.8   0.00   0.00   0.76   0.042   0.055   0.038   0.015   0.009   0.006   0.001   0.000   0.000      0      0      0       0       0  13.800  182.787
 1990 033    54    53  37.103     2  3.790   1228    569      0   1550   3067   3067      0      0  0.000   1271      0  0.000  0.403  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1271    313.8   0.00   0.00   0.77   0.042   0.055   0.038   0.016   0.009   0.007   0.002   0.000   0.000      0      0      0       0       0  13.900  196.687
 1990 034    55    54  37.594     2  3.897   1262    657      0   1617   3253   3253      0      0  0.000   1334      0  0.000  0.458  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1334    313.8   0.00   0.00   0.78   0.042   0.054   0.038   0.018   0.010   0.008   0.002   0.000   0.000      0      0      0       0       0  13.600  210.287
 1990 035    56    55  38.060     2  3.990   1292    755      0   1693   3446   3446      0      0  0.000   1399      0  0.000  0.546  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1399    313.8   0.00   0.00   0.79   0.041   0.054   0.038   0.020   0.011   0.009   0.003   0.000   0.000      0      0      0       0       0  12.900  223.187
 1990 036    57    56  38.536     2  4.059   1313    858      0   1776   3634   3634      0      0  0.000   1463      0  0.000  0.659  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1463    313.8   0.00   0.00   0.80   0.041   0.053   0.038   0.022   0.012   0.010   0.005   0.000   0.000      0      0      0       0       0  13.200  236.387
 1990 037    58    57  39.024     2  4.254   1375    965      0   1816   3865   3865      0      0  0.000   1525      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1525    313.8   0.00   0.00   0.81   0.042   0.058   0.041   0.022   0.012   0.010   0.005   0.000   0.000      0      0      0       0       0  13.500  249.887
 1990 038    59    58  39.612     2  4.423   1429   1066      0   1850   4074   4074      0      0  0.000   1579      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1579    313.8   0.00   0.00   0.82   0.043   0.060   0.042   0.022   0.012   0.010   0.005   0.000   0.000      0      0      0       0       0  16.300  266.187
 1990 039    60    59  40.233     2  4.567   1475   1159      0   1878   4259   4259      0      0  0.000   1625      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1625    313.8   0.00   0.00   0.83   0.043   0.062   0.044   0.022   0.012   0.010   0.005   0.000   0.000      0      0      0       0       0  17.200  283.387
 1990 040    61    60  40.793     2  4.723   1525   1268      0   1912   4469   4469      0      0  0.000   1675      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0   1675    313.8   0.00   0.00   0.84   0.044   0.063   0.045   0.022   0.012   0.010   0.005   0.000   0.000      0      0      0       0       0  15.500  298.887
